Country,Global category,Overview category,Sector,Subsector,Indicator ID,Value,Source,Indicator name
Andorra,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Austria,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Bhutan,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Brazil,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Chile,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Costa Rica,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Denmark,Overview,Net-zero,,,nz_status,In Law,ECIU,Net-zero Target Status
Dominican Republic,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
European Union (27),Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Fiji,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Finland,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
France,Overview,Net-zero,,,nz_status,In Law,ECIU,Net-zero Target Status
Hungary,Overview,Net-zero,,,nz_status,In Law,ECIU,Net-zero Target Status
Iceland,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Ireland,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Japan,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Latvia,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Marshall Islands,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Monaco,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
New Zealand,Overview,Net-zero,,,nz_status,In Law,ECIU,Net-zero Target Status
Panama,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Portugal,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Singapore,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Slovakia,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Slovenia,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
South Korea,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Spain,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
Sweden,Overview,Net-zero,,,nz_status,In Law,ECIU,Net-zero Target Status
Switzerland,Overview,Net-zero,,,nz_status,In Policy Document,ECIU,Net-zero Target Status
United Kingdom,Overview,Net-zero,,,nz_status,In Law,ECIU,Net-zero Target Status
